Source,Target,Type,Weight
SMBVR,BWM-VR02,chemical,1
SMBVR,BWM-VR03,chemical,5
SMBVR,BWM-VR04,chemical,1
SMBVR,BWM-VR05,chemical,1
SMBVR,BWM-VR06,chemical,1
SMBVR,CEPVR,chemical,2
SMBVR,excgl,chemical,1
SMBVR,RMEV,chemical,1
SMBVR,SAADR,chemical,7
SMBVR,SIAVR,chemical,1
SMDDL,BWM-DR01,chemical,1
SMDDL,BWM-DR03,chemical,2
SMDDL,BWM-DR04,chemical,1
SMDDL,BWM-DR05,chemical,2
SMDDL,BWM-DR06,chemical,1
SMDDL,CEPDR,chemical,1
SMDDL,RIAL,chemical,3
SMDDL,RIAR,chemical,4
SMDDL,RIML,chemical,1
SMDDL,RMDL,electrical,1
SMDDL,SMDDR,electrical,2
SMDDL,SMDVR,chemical,1
SMDDR,BWM-DL01,chemical,2
SMDDR,BWM-DL03,chemical,3
SMDDR,BWM-DL04,chemical,1
SMDDR,BWM-DL05,chemical,2
SMDDR,BWM-DL06,chemical,1
SMDDR,BWM-DR01,chemical,1
SMDDR,BWM-DR03,chemical,1
SMDDR,CEPDL,chemical,2
SMDDR,RIAL,chemical,5
SMDDR,RIAR,chemical,5
SMDDR,RIMR,chemical,1
SMDDR,RMDL,chemical,1
SMDDR,RMEV,chemical,1
SMDDR,SMDVL,chemical,4
SMDVL,BWM-VR01,chemical,1
SMDVL,BWM-VR03,chemical,2
SMDVL,BWM-VR04,chemical,1
SMDVL,BWM-VR06,chemical,1
SMDVL,CEPVR,chemical,3
SMDVL,RIAL,chemical,5
SMDVL,RIAR,chemical,5
SMDVL,RMDL,chemical,1
SMDVL,SMDDR,chemical,1
SMDVR,BWM-VL01,chemical,1
SMDVR,BWM-VL03,chemical,1
SMDVR,BWM-VL05,chemical,1
SMDVR,BWM-VR01,chemical,1
SMDVR,RIAL,chemical,4
SMDVR,RIAR,chemical,3
SMDVR,SMDDL,chemical,2
URADL,BWM-DL01,chemical,4
URADL,BWM-DL02,chemical,3
URADL,BWM-DL03,chemical,1
URADL,RIPL,chemical,4
URADL,RMED,chemical,2
URADL,RMEL,chemical,3
URADL,RMEV,chemical,1
URADR,BWM-DR01,chemical,4
URADR,BWM-DR02,chemical,5
URADR,GLRDR,chemical,1
URADR,IL1DR,chemical,2
URADR,RIPR,chemical,6
URADR,RMED,chemical,1
URADR,RMER,chemical,2
URADR,RMEV,chemical,1
URAVL,BWM-VL01,chemical,3
URAVL,BWM-VL02,chemical,4
URAVL,BWM-VL03,chemical,1
URAVL,IL1L,chemical,1
URAVL,IL1VL,chemical,2
URAVL,RIPL,chemical,3
URAVL,RMDVR,chemical,1
URAVL,RMEL,chemical,2
URAVL,RMEV,chemical,2
URAVR,BWM-DR02,chemical,1
URAVR,BWM-VR01,chemical,1
URAVR,BWM-VR02,chemical,5
URAVR,IL1VR,chemical,1
URAVR,RIPR,chemical,5
URAVR,RMEL,chemical,1
URAVR,RMER,chemical,2
URAVR,RMEV,chemical,3
URAVR,URYVR,chemical,1
URBL,ADAL,chemical,1
URBL,BWM-DL04,chemical,1
URBL,BWM-DL06,chemical,1
URBL,CEPDL,chemical,2
URBL,CEPVL,chemical,3
URBL,IL1L,chemical,1
URBL,IL2L,chemical,1
URBL,IL2L,electrical,1
URBL,OLQDL,electrical,1
URBL,OLQVL,electrical,3
URBL,PVR,chemical,2
URBL,RMDL,chemical,2
URBL,SIAVL,chemical,1
URBL,URXL,chemical,3
URBR,ADER,chemical,1
URBR,CEPDR,chemical,2
URBR,CEPDR,electrical,1
URBR,CEPVR,chemical,1
URBR,IL1R,chemical,3
URBR,IL2R,chemical,1
URBR,RICL,chemical,3
URBR,RICR,chemical,1
URBR,RMGR,chemical,1
URBR,RMHL,chemical,2
URBR,RMHR,chemical,1
URBR,URXR,chemical,7
URXL,ADAL,chemical,1
URXL,AUAL,chemical,10
URXL,AVEL,chemical,1
URXL,AVJR,chemical,1
URXL,IL2L,electrical,2
URXL,RIAL,chemical,13
URXL,RICL,chemical,1
URXL,RIGL,chemical,4
URXL,RIR,chemical,1
URXL,RMGL,chemical,1
URXR,ADAR,chemical,1
URXR,AQR,chemical,1
URXR,AUAR,chemical,11
URXR,AVER,chemical,1
URXR,IL2R,electrical,2
URXR,PVPR,chemical,1
URXR,RIAR,chemical,9
URXR,RICL,chemical,1
URXR,RICR,chemical,2
URXR,RIGR,chemical,3
URXR,RIR,chemical,2
URXR,URAVR,chemical,1
URYDL,AVEL,electrical,1
URYDL,AVER,chemical,2
URYDL,BWM-DL01,chemical,1
URYDL,IL1DL,chemical,2
URYDL,IL1DL,electrical,1
URYDL,RIBL,chemical,3
URYDL,RMDDL,chemical,1
URYDL,RMDDR,chemical,4
URYDL,RMDVL,chemical,3
URYDL,SMDDR,chemical,7
URYDR,AVEL,chemical,3
URYDR,AVEL,electrical,1
URYDR,BWM-DR01,chemical,2
URYDR,BWM-DR03,chemical,1
URYDR,CEPDR,chemical,2
URYDR,IL1DR,electrical,2
URYDR,OLLR,chemical,1
URYDR,RIBR,chemical,2
URYDR,RMDDL,chemical,3
URYDR,RMDDR,chemical,1
URYDR,RMDVR,chemical,2
URYDR,RMER,chemical,1
URYDR,RMEV,chemical,1
URYDR,SMDDL,chemical,5
URYDR,URADR,chemical,1
URYVL,AVER,chemical,3
URYVL,BWM-VL01,chemical,1
URYVL,OLLL,chemical,1
URYVL,RIAL,chemical,1
URYVL,RIBL,chemical,2
URYVL,RMDDL,chemical,2
URYVL,RMDVR,chemical,3
URYVL,SMDVR,chemical,3
URYVR,AVEL,chemical,5
URYVR,AVEL,electrical,1
URYVR,RIBR,chemical,6
URYVR,RMDDR,chemical,1
URYVR,RMDVL,chemical,3
URYVR,SMDVL,chemical,6
